,Date,收盘价(元),Predict_price,Buy,Sell
0,2016-01-04,3296.258,3296.992203280515,,
1,2016-01-05,3287.711,3246.2490352772215,,
2,2016-01-06,3361.84,3366.676665048727,,
3,2016-01-07,3125.002,2902.4349365234375,,
4,2016-01-08,3186.412,3336.00897537624,,
5,2016-01-11,3016.704,2965.5549339297313,,
6,2016-01-12,3022.861,3228.0931397291315,,
7,2016-01-13,2949.597,2975.5777882153666,,
8,2016-01-14,3007.649,3034.931432683241,,
9,2016-01-15,2900.97,2777.6992084652766,,
10,2016-01-18,2913.837,2943.169043424608,,
11,2016-01-19,3007.739,3016.3118116282535,,
12,2016-01-20,2976.694,2953.9976756105643,,
13,2016-01-21,2880.482,2901.9379611363415,,
14,2016-01-22,2916.562,2904.47839813939,,
15,2016-01-25,2938.515,2940.873125696544,,
16,2016-01-26,2749.785,2690.0694040779954,,
17,2016-01-27,2735.56,2749.7156451383753,,
18,2016-01-28,2655.66,2668.037578957143,,
19,2016-01-29,2737.6,2755.1947911825537,,
20,2016-02-01,2688.854,2668.8103751945823,,
21,2016-02-02,2749.57,2741.454102434941,,
22,2016-02-03,2739.247,2712.7881096119677,,
23,2016-02-04,2781.023,2796.7358263612236,,
24,2016-02-05,2763.492,2763.852420033139,,
25,2016-02-15,2746.196,2672.1765007174718,,
26,2016-02-16,2836.571,2881.520611075974,,
27,2016-02-17,2867.338,2868.244265343255,,
28,2016-02-18,2862.893,2876.821466632419,,1.0
29,2016-02-19,2860.021,2853.908710188972,,
30,2016-02-22,2927.175,2943.4053955078125,,
31,2016-02-23,2903.331,2893.2616097200203,,
32,2016-02-24,2928.896,2919.8778630603815,,
33,2016-02-25,2741.245,2767.4325356574686,,
34,2016-02-26,2767.21,2782.501819376645,,
35,2016-02-29,2687.979,2683.9735651323667,,
36,2016-03-01,2733.17,2739.635982572745,,
37,2016-03-02,2849.681,2849.5127858538954,,
38,2016-03-03,2859.758,2859.4068684801637,,1.0
39,2016-03-04,2874.147,2855.240701181283,,
40,2016-03-07,2897.34,2901.2894580800717,,
41,2016-03-08,2901.387,2868.8368811614337,,
42,2016-03-09,2862.556,2831.5095067073553,,
43,2016-03-10,2804.726,2832.5591436363334,,
44,2016-03-11,2810.307,2815.2528082421054,,
45,2016-03-14,2859.499,2898.336977375018,,
46,2016-03-15,2864.368,2852.5537987328316,,
47,2016-03-16,2870.43,2873.5051789869867,1.0,
48,2016-03-17,2904.832,2915.8376183163537,,
49,2016-03-18,2955.15,2966.4839061123116,,
50,2016-03-21,3018.802,3020.3212919558014,,
51,2016-03-22,2999.363,2974.8475036621094,,
52,2016-03-23,3009.96,2989.0577339349597,,
53,2016-03-24,2960.97,2952.550253730402,,
54,2016-03-25,2979.434,2969.7935143311793,1.0,
55,2016-03-28,2957.82,2975.3254190890184,,
56,2016-03-29,2919.832,2916.4189099008368,,
57,2016-03-30,3000.645,2994.741858668983,,
58,2016-03-31,3003.915,3006.287660557153,,
59,2016-04-06,,,,1.0
60,2016-04-14,,,1.0,
61,2016-05-03,,,1.0,
62,2016-05-11,,,,1.0
63,2016-05-17,,,1.0,
64,2016-05-24,,,1.0,
65,2016-05-31,,,,1.0
66,2016-06-03,,,,1.0
67,2016-06-24,,,1.0,
68,2016-08-16,,,,1.0
69,2016-09-01,,,,1.0
70,2016-09-07,,,,1.0
71,2016-09-13,,,,1.0
72,2016-09-27,,,1.0,
73,2016-10-13,,,1.0,
74,2016-11-01,,,,1.0
75,2016-11-02,,,,1.0
76,2016-11-11,,,,1.0
77,2016-12-01,,,1.0,
78,2016-12-05,,,,1.0
79,2016-12-13,,,,1.0
