,Unnamed: 0,Initial Portfolio Value,Final Portfolio Value,Total Return,Base Return,Sharpe Ratio,Max Drawdown
0,2016.0,100000000,122336984.8854968,22.336984885496793,-5.843626318085526,0.1363985686497215,0.0982070020831882
0,2017.0,100000000,106763724.19182356,6.763724191823557,4.697299032478863,0.0167073767073039,0.0344614483890608
0,2018.0,100000000,97467071.3769503,-2.532928623049706,-26.340525325559483,0.1568569741088122,0.0765099599754625
0,2019.0,100000000,110901848.8917085,10.901848891708491,21.283652161174892,-0.0517298532003942,0.0921565375607739
0,2020.0,100000000,104457100.9564486,4.457100956448615,12.63734679575197,-0.0301245093957297,0.1572310535911173
0,2021.0,100000000,91817191.40754212,-8.18280859245789,3.905755774890163,-0.090104873332244,0.0912384427614811
0,2022.0,100000000,93720123.89837344,-6.2798761016265745,-14.951041465435576,0.0476011113345956,0.1213600305208393
0,2023.0,100000000,101781278.81891523,1.7812788189152329,-4.756869533324681,0.0503038602840323,0.0776769536666406
0,2024.0,100000000,134291971.08797824,34.29197108797825,13.451845188479105,0.0628605556298791,0.1024500215562691
Total,,100000000,134291971.08797824,73.4566557196423,-5.277679733099017,0.03163748827348064,0.2053933762928102
